BNpcBaseId,BNpcNameId,TerritoryTypeId,Position,Subtype
1445,244,141,19.3;26.2;238.23656,0
1445,244,141,21.2;20;-72.70109,0
1445,244,141,18.7;13;-419.11557,0
1445,244,141,22.4;30.3;442.09653,0
385,632,141,19.7;25.8;216.6602,0
385,632,141,24.1;29.3;393.11084,0
385,632,141,23.5;33.6;607.524,0
351,262,141,18.8;26.4;248.91525,0
351,262,141,22.6;31.3;492.11798,0
795,1277,141,19.1;27.8;316.1595,0
797,1277,141,22.1;32.9;575.715,0
1157,1277,141,19.3;21.2;-10.90875,0
1157,1277,141,18;15.6;-292.70215,0
302,308,141,19.8;24.8;167.1702,0
302,308,141,26.5;19.3;-107.11513,0
1214,1352,141,21.2;24.4;150.92691,0
160,289,141,21.1;24;126.78715,0
160,289,141,22.9;19.4;-102.60045,0
101,317,141,17.5;24.1;132.29753,0
41,201,141,20.4;23.7;114.476326,0
41,201,141,20.1;19.1;-114.94931,0
41,201,141,20.6;14.5;-347.5059,0
41,201,141,14.8;21.6;6.804265,0
432,294,141,19.6;23.6;107.6804,0
432,294,141,21.4;19.6;-89.108154,0
432,294,141,18.4;15.6;-289.89563,0
1276,874,141,18.2;23.5;101.29746,0
205,318,141,21.9;25.6;209.82648,0
205,318,141,23.5;30.2;437.10492,0
431,282,141,18.2;22;27.810577,0
431,282,141,20;15.5;-297.00296,0
431,282,141,14.2;22.2;36.86088,0
1133,1367,141,19.9;20.6;-41.73984,0
197,292,141,22.7;19.9;-74.381325,0
197,292,141,27;20.7;-35.040184,0
38,279,141,22.7;20.1;-66.02118,0
38,279,141,26.7;17.5;-197.85696,0
38,279,141,29.1;21.5;2.723264,0
794,1276,141,20.9;18.8;-130.1474,0
353,330,141,23.4;20.5;-47.401123,0
175,288,141,23.8;19.5;-96.059364,0
352,326,141,23.9;21.1;-18.050892,0
355,328,141,24;21.2;-13.03288,0
736,254,141,22.1;16.8;-229.5104,0
735,246,141,22.1;16.8;-233.8986,0
26,216,141,26.8;19.8;-82.67809,0
197,293,141,17.2;13.8;-380.82578,0
771,266,141,19.4;21.2;-10.509201,0
1178,1341,141,21;25.6;209.7635,0
1272,870,141,21.2;25.6;209.3291,0
3180,2924,141,17.8;18.8;-131.73618,0
3180,2924,141,19.3;23.7;112.17989,0
3180,2924,141,22.3;31.3;495.74985,0
3180,2924,141,21.8;15.5;-295.38962,0
3197,2941,141,19.4;23.6;108.8246,0
3197,2941,141,17.8;18.9;-127.18787,0
3197,2941,141,21.7;13.7;-385.9329,0
3197,2941,141,24;31.9;523.1877,0
3197,2941,141,27.1;21.4;-3.6071105,0
1299,1348,141,23;16.5;-245.7577,0
1277,875,141,17;14.8;-333.13745,0
1274,872,141,16.3;19.3;-106.6859,0
2852,2868,141,22.6;21.1;-15.621123,0
1290,520,141,23.8;20.2;-63.85243,0
353,329,141,23.8;20.9;-25.36123,0
3117,2870,141,22.8;21;-21.16732,0
3116,2869,141,22.7;21;-22.98132,0
1273,871,141,19.8;21;-23.716532,0
1265,898,141,15.8;21.8;17.67723,0
1263,897,141,28.3;19.4;-99.31662,0
1298,1325,141,28.7;20;-71.39478,0
1275,873,141,28.5;19.3;-104.65237,0
14027,11027,141,24.6;18.4;-153.263,0
2309,2220,141,18.2;23.2;87.150696,0
2310,2221,141,18.2;23.7;112.2213,0
205,577,141,21.7;20.2;-59.53471,0
9836,7902,141,24.8;34.6;658.4058,0
1245,923,141,18.8;25.6;210.7525,0
205,574,141,22.8;26.3;245.236,0
187,575,141,22.1;22.4;49.78832,0
3214,2958,141,16.3;19.5;-95.285034,0
14031,11023,141,25;18.8;-131.2376,0
7237,1255,141,23.5;28.6;359.0805,0
4781,4314,141,21.3;12.9;-427.8675,0
4786,4315,141,21.3;12.2;-460.1454,0
9513,7896,141,25.9;20.7;-37.32484,0
9514,7897,141,27;21;-19.4317,0
9515,7898,141,27.3;21;-21.288757,0
206,306,145,11.3;28.1;334.06805,0
206,306,145,15.3;27.4;298.25983,0
206,306,145,13.9;21.3;-4.228676,0
206,306,145,12.5;16.2;-262.20477,0
131,113,145,12.5;27.8;318.58093,0
131,113,145,18.1;26.4;248.12096,0
131,113,145,14;22;27.773623,0
131,113,145,23.1;28.8;367.12677,0
131,113,145,18.8;20.3;-55.40797,19
792,1275,145,12.8;24.9;175.6361,0
1198,1277,145,15.7;27.4;297.59427,0
1159,1277,145,27.7;17.2;-210.07376,0
1158,1277,145,29;23.6;110.74209,0
1156,1277,145,12;19.1;-116.137856,0
138,302,145,16.2;25.9;222.8101,0
194,274,145,16.6;27.8;320.00668,0
194,274,145,15.5;23.4;97.09688,0
194,274,145,19.5;22;27.50407,0
194,274,145,22.8;27.2;288.2183,0
193,273,145,17.6;27.2;287.98303,0
193,273,145,18.4;22.7;65.14955,0
193,273,145,23.2;26.9;272.1867,0
735,247,145,18.6;27.6;309.0138,0
737,250,145,19;27.4;299.66724,0
203,272,145,22;22.4;50.36091,0
203,272,145,26.5;21.5;2.3052988,0
36,296,145,22.4;22.3;45.406654,0
36,296,145,25.8;18.1;-164.76788,0
170,268,145,23.2;22.9;73.0724,0
799,1255,145,23.8;22.4;50.3241,0
168,251,145,24.7;21.4;-0.8643701,0
168,251,145,15;24.4;146.26959,0
1343,1245,145,22.3;21.3;-6.7476,0
204,271,145,25.5;24.6;160.92827,0
204,271,145,30.2;24.7;164.74057,0
167,256,145,25.1;20.9;-28.189774,0
167,256,145,12.2;26.2;238.79303,0
166,245,145,25.5;20.8;-32.51355,0
166,245,145,17;26.8;267.93185,0
166,245,145,10.6;18;-172.3615,0
399,634,145,26.5;24.8;166.81139,0
399,634,145,31.1;26.7;264.7393,0
1207,1371,145,24.8;20.4;-52.435173,0
1162,1371,145,16.9;26.8;266.3178,0
1209,1371,145,10.6;17.1;-218.6635,0
2128,1503,145,27.2;24.1;133.50555,0
353,1311,145,26.6;19.2;-113.61527,0
354,1310,145,27;19.1;-114.97329,0
1282,880,145,17.3;24.1;132.51064,0
1281,879,145,17.5;23.9;125.698494,0
1283,881,145,17.6;24.1;134.7562,0
12,301,145,21.9;20.3;-55.149876,0
181,281,145,24.2;19.1;-114.35818,0
181,281,145,28.6;16.9;-227.25568,0
352,1309,145,26.3;19;-123.56697,0
41,1199,145,12.3;22.9;72.234634,0
3181,2925,145,18.8;22.4;47.900948,0
3181,2925,145,29.5;17.3;-207.80038,0
3181,2925,145,23.9;21.2;-13.233374,0
