ItemId,Patch
101,1.0
100,1.0
111,1.0
102,1.0
114,1.0
103,1.0
116,1.0
104,1.0
119,1.0
105,1.0
124,1.0
106,1.0
129,1.0
107,1.0
136,1.0
108,1.0
147,1.0
109,1.0
148,1.0
110,1.0
150,1.0
112,1.0
151,1.0
113,1.0
153,1.0
117,1.0
154,1.0
118,1.0
160,1.0
120,1.0
161,1.0
121,1.0
169,1.0
122,1.0
170,1.0
123,1.0
178,1.0
126,1.0
179,1.0
127,1.0
182,1.0
130,1.0
183,1.0
131,1.0
198,1.0
133,1.0
199,1.0
134,1.0
204,1.0
137,1.0
205,1.0
138,1.0
206,1.0
139,1.0
207,1.0
140,1.0
226,1.0
143,1.0
227,1.0
144,1.0
228,1.0
145,1.0
229,1.0
146,1.0
246,1.0
155,1.0
247,1.0
156,1.0
248,1.0
157,1.0
249,1.0
158,1.0
258,1.0
172,1.0
259,1.0
173,1.0
260,1.0
174,1.0
261,1.0
175,1.0
278,1.0
188,1.0
279,1.0
189,1.0
280,1.0
190,1.0
281,1.0
191,1.0
292,1.0
200,1.0
293,1.0
201,1.0
294,1.0
202,1.0
295,1.0
203,1.0
308,1.0
211,1.0
309,1.0
212,1.0
310,1.0
213,1.0
311,1.0
214,1.0
324,1.0
222,1.0
325,1.0
223,1.0
326,1.0
224,1.0
327,1.0
225,1.0
344,1.0
238,1.0
345,1.0
239,1.0
346,1.0
240,1.0
347,1.0
241,1.0
348,1.0
242,1.0
349,1.0
243,1.0
350,1.0
244,1.0
351,1.0
245,1.0
115,1.0
125,1.0
128,1.0
132,1.0
135,1.0
142,1.0
149,1.0
163,1.0
165,1.0
166,1.0
176,1.0
177,1.0
195,1.0
196,1.0
215,1.0
216,1.0
234,1.0
235,1.0
250,1.0
251,1.0
256,1.0
257,1.0
264,1.0
265,1.0
284,1.0
285,1.0
286,1.0
287,1.0
296,1.0
297,1.0
298,1.0
299,1.0
320,1.0
321,1.0
322,1.0
323,1.0
364,1.0
365,1.0
270,1.0
271,1.0
272,1.0
273,1.0
274,1.0
275,1.0
276,1.0
277,1.0
300,1.0
301,1.0
302,1.0
303,1.0
304,1.0
305,1.0
306,1.0
307,1.0
332,1.0
333,1.0
334,1.0
335,1.0
336,1.0
337,1.0
338,1.0
339,1.0
168,1.0
180,1.0
184,1.0
187,1.0
194,1.0
197,1.0
210,1.0
217,1.0
220,1.0
221,1.0
230,1.0
231,1.0
236,1.0
237,1.0
252,1.0
253,1.0
262,1.0
263,1.0
268,1.0
269,1.0
282,1.0
283,1.0
290,1.0
291,1.0
312,1.0
313,1.0
314,1.0
315,1.0
340,1.0
341,1.0
342,1.0
343,1.0
356,1.0
357,1.0
358,1.0
359,1.0
141,1.0
152,1.0
159,1.0
162,1.0
164,1.0
167,1.0
171,1.0
181,1.0
185,1.0
186,1.0
192,1.0
193,1.0
208,1.0
209,1.0
218,1.0
219,1.0
232,1.0
233,1.0
254,1.0
255,1.0
266,1.0
267,1.0
288,1.0
289,1.0
316,1.0
317,1.0
318,1.0
319,1.0
328,1.0
329,1.0
330,1.0
331,1.0
352,1.0
353,1.0
354,1.0
355,1.0
360,1.0
361,1.0
362,1.0
363,1.0
22357,6.35
38717,6.35
38718,6.35
38719,6.35
38720,6.35
38721,6.35
38722,6.35
38723,6.35
38724,6.35
38725,6.35
38726,6.35
38727,6.35
38728,6.35
38729,6.35
38730,6.35
38731,6.35
38732,6.35
38733,6.35
38734,6.35
38735,6.35
38736,6.35
38737,6.35
38738,6.35
38739,6.35
38740,6.35
38741,6.35
38742,6.35
38743,6.35
38744,6.35
38745,6.35
38746,6.35
38747,6.35
38748,6.35
38749,6.35
38750,6.35
38751,6.35
38752,6.35
38753,6.35
38754,6.35
38755,6.35
38756,6.35
38757,6.35
38758,6.35
38759,6.35
38760,6.35
38761,6.35
38762,6.35
38763,6.35
38764,6.35
38765,6.35
38766,6.35
38767,6.35
38768,6.35
38769,6.35
38770,6.35
38771,6.35
38772,6.35
38773,6.35
38774,6.35
38775,6.35
38776,6.35
38715,6.35
38716,6.35
38777,6.35
38778,6.35
38779,6.35
38780,6.35
38781,6.35
38782,6.35
38783,6.35
38784,6.35
38785,6.35
38786,6.35
38787,6.35
38788,6.35
38789,6.35
38790,6.35
38791,6.35
38792,6.35
38793,6.35
38794,6.35
38795,6.35
38796,6.35
38797,6.35
38798,6.35
38799,6.35
38800,6.35
38801,6.35
38802,6.35
38803,6.35
38804,6.35
38805,6.35
38806,6.35
38807,6.35
38808,6.35
38809,6.35
45,6.4
33681,6.4
33682,6.4
33683,6.4
39630,6.4
39631,6.4
39632,6.4
39633,6.4
39634,6.4
39635,6.4
39636,6.4
39637,6.4
39638,6.4
39639,6.4
39640,6.4
39641,6.4
39642,6.4
39643,6.4
39644,6.4
39645,6.4
39646,6.4
39647,6.4
39648,6.4
39649,6.4
39650,6.4
39651,6.4
39652,6.4
39653,6.4
39654,6.4
39655,6.4
39656,6.4
39657,6.4
39658,6.4
39659,6.4
39660,6.4
39661,6.4
39662,6.4
39663,6.4
39664,6.4
39665,6.4
39666,6.4
39667,6.4
39668,6.4
39669,6.4
39670,6.4
39671,6.4
39672,6.4
39673,6.4
39674,6.4
39675,6.4
39676,6.4
39677,6.4
39678,6.4
39679,6.4
39680,6.4
39681,6.4
39682,6.4
39683,6.4
39684,6.4
39685,6.4
39686,6.4
39687,6.4
39688,6.4
39689,6.4
39690,6.4
39691,6.4
39692,6.4
39693,6.4
39694,6.4
39695,6.4
39696,6.4
39697,6.4
39698,6.4
39699,6.4
39700,6.4
39701,6.4
39702,6.4
39703,6.4
39704,6.4
39705,6.4
39706,6.4
39707,6.4
39708,6.4
39709,6.4
39710,6.4
39711,6.4
39712,6.4
39713,6.4
39714,6.4
39715,6.4
39716,6.4
39717,6.4
39718,6.4
39719,6.4
39720,6.4
39721,6.4
39722,6.4
39723,6.4
39724,6.4
39725,6.4
39726,6.4
39727,6.4
39728,6.4
39729,6.4
39730,6.4
39731,6.4
39825,6.4
39826,6.4
39827,6.4
39828,6.4
39829,6.4
39830,6.4
39831,6.4
39832,6.4
39833,6.4
39834,6.4
39835,6.4
39836,6.4
39837,6.4
39838,6.4
39839,6.4
39840,6.4
39841,6.4
39842,6.4
39843,6.4
39844,6.4
39845,6.4
39846,6.4
39847,6.4
39848,6.4
39849,6.4
39850,6.4
39851,6.4
39852,6.4
39853,6.4
39854,6.4
39855,6.4
39856,6.4
39857,6.4
39858,6.4
39859,6.4
39860,6.4
39861,6.4
39862,6.4
39863,6.4
39864,6.4
39865,6.4
39866,6.4
39867,6.4
39868,6.4
39869,6.4
39870,6.4
39871,6.4
39872,6.4
39873,6.4
39874,6.4
39875,6.4
39876,6.4
39877,6.4
39878,6.4
39879,6.4
39880,6.4
39881,6.4
39882,6.4
39883,6.4
39887,6.4
39888,6.4
39889,6.4
39890,6.4
39891,6.4
39892,6.4
39893,6.4
39894,6.4
39895,6.4
39896,6.4
39897,6.4
39898,6.4
39899,6.4
39900,6.4
39901,6.4
39902,6.4
39903,6.4
39904,6.4
39905,6.4
39906,6.4
39907,6.4
39908,6.4
39909,6.4
39910,6.4
39911,6.4
39912,6.4
39913,6.4
39914,6.4
39915,6.4
39916,6.4
39917,6.4
39918,6.4
39919,6.4
39940,6.4
39941,6.4
39942,6.4
39943,6.4
39944,6.4
39945,6.4
39946,6.4
39947,6.4
39948,6.4
39949,6.4
39950,6.4
39951,6.4
39952,6.4
39953,6.4
39954,6.4
39955,6.4
39956,6.4
39957,6.4
39958,6.4
39959,6.4
39960,6.4
39961,6.4
39962,6.4
39963,6.4
39964,6.4
39965,6.4
39966,6.4
39967,6.4
39968,6.4
39969,6.4
39970,6.4
39971,6.4
